radio,mcc,mnc,lac_tac,cid,psc_pci,lon,lat,range,samples,changeable,created,updated,avg_signal,operator,tech
LTE,272,5,42300,951326,-1,-8.6157,52.6742,1000,8,1,1762583164,1762605962,0,Three,4G
LTE,272,5,42300,98055,0,-8.6002,52.6864,2574,15,1,1489225756,1762605962,0,Three,4G
LTE,272,5,42301,1319198,-1,-8.6163,52.6717,1000,4,1,1762583194,1762605962,0,Three,4G
UMTS,272,3,3004,19806435,343,-8.5084,52.6798,1000,3,1,1740839840,1741095073,0,Eir,3G
UMTS,272,3,30121,19806304,301,-8.5527,52.6678,1390,5,1,1740840180,1741095073,0,Eir,3G
UMTS,272,3,30121,19806330,131,-8.5248,52.6714,2355,21,1,1740839850,1741095073,0,Eir,3G
UMTS,272,3,30121,19806363,213,-8.5265,52.6696,1000,10,1,1740839960,1741095073,0,Eir,3G
UMTS,272,3,30121,19806386,424,-8.5166,52.6729,1000,6,1,1740839890,1741095073,0,Eir,3G
UMTS,272,3,30121,19806435,343,-8.5321,52.6685,1000,1,1,1740840040,1740840040,0,Eir,3G
UMTS,272,3,30121,19806456,338,-8.5527,52.6678,1391,5,1,1740840110,1741095073,0,Eir,3G
