National_Series_Id,National_Series,Red_Value,Green_Value,Blue_Value,Live
0700RG,Rinnagowna,141,180,226,DEAD
0700RO,Rathangan,141,180,226,DEAD
0700SR,Street,141,180,226,DEAD
0700SRN,Street New Red Sandstone Variant,141,180,226,DEAD
0700ST,Straffan,141,180,226,LIVE
0700STW,Salterstown,141,180,226,DEAD
0700TR,Tramore,141,180,226,LIVE
0700UN08,UNnamed_08,141,180,226,DEAD
0700UN09,UNnamed_09,141,180,226,DEAD
0700UN59,UNnamed_59,141,180,226,DEAD
0700UN98,UNnamed_98,141,180,226,DEAD
0700UN99,UNnamed_99,141,180,226,DEAD
0700WF,Waterford,141,180,226,DEAD
0760AFP,Abbeyfeale peaty phase,141,180,226,DEAD
0760AG,Aglish,141,180,226,DEAD
0760BB,Ballynabreen,141,180,226,LIVE
0760BG,Ballygree,141,180,226,LIVE
0760BL,Ballyhaise lithic phase,141,180,226,LIVE
0760BN,Ballinamore,141,180,226,LIVE
0760BNL,Bunalunn,141,180,226,DEAD
0760CC,Castlecomer,141,180,226,DEAD
0760CG,Cluggin,141,180,226,LIVE
0760CK,Coolnakisha,141,180,226,DEAD
0760DD,Dodard,141,180,226,DEAD
0760DY,Driminidy,141,180,226,LIVE
0760GL,Glan,141,180,226,DEAD
0760GN,Gortaclareen,141,180,226,LIVE
0760HN,Howardstown,141,180,226,LIVE
0760KC,NSG17,141,180,226,DEAD
0760KCP,Kilcommon peaty phase,141,180,226,DEAD
0760LC,Lickey,141,180,226,DEAD
0760ME,Mothel,141,180,226,DEAD
0760MM,Mountminnett,141,180,226,DEAD
0760MN,Moanduff,141,180,226,DEAD
0760NSG12,NSG12,141,180,226,DEAD
0760RD,Raheenduff,141,180,226,DEAD
0760RDI,Raheenduff imperfectly drained phase,141,180,226,DEAD
0760RH,Rahelty,141,180,226,LIVE
0760RT,Rootiagh,141,180,226,DEAD
0760SK,Seskinrea,141,180,226,DEAD
0760SW,Sawyerswood,141,180,226,DEAD
0790KRA,Kilrush anthropic,141,180,226,LIVE
0800BN,Ballycondon,128,128,0,LIVE
0800BP,Brockagh,128,128,0,LIVE
0800BR,Black Rock Mountain,128,128,0,LIVE
0800BS,Ballyscanlon,128,128,0,LIVE
0800BY,Ballinagilky,128,128,0,DEAD
0800CD,Cardtown,128,128,0,DEAD
0800DS,Drumslig,128,128,0,LIVE
0800MB,Massbrook,128,128,0,DEAD
0800MBB,Massbrook bouldery phase,128,128,0,DEAD
0800MBP,Massbrook peaty phase,128,128,0,DEAD
0800RD,Roddenagh,128,128,0,LIVE
0800S03,Soil 3,128,128,0,DEAD
0800S03a,Soil 3a,128,128,0,DEAD
0800S08,Soil 8,128,128,0,DEAD
0800SG,Slievebeag,128,128,0,DEAD
0800SP,Stonepark,128,128,0,DEAD
0800UN34,UNnamed_34,128,128,0,DEAD
0820AH,Ahaun,128,128,0,DEAD
0820BK,Brackloon,128,128,0,LIVE
0830CM,Coumduff,128,128,0,LIVE
0830KD,Killadoon,128,128,0,DEAD
0830KDB,Killadoon bouldery phase,128,128,0,DEAD
0830KDP,Killadoon bouldery phase,128,128,0,DEAD
0830UN35,UNnamed_35,128,128,0,DEAD
0830UN36,UNnamed_36,128,128,0,DEAD
0830UN37,UNnamed_37,128,128,0,DEAD
0843BA,NPO6,128,128,0,DEAD
0843BL,Blackstairs,128,128,0,LIVE
0843BRC,Black Rock Mountain,128,128,0,DEAD
0843CG,Coolnagoppoge,128,128,0,DEAD
0843DG,Derrygorman,128,128,0,DEAD
0843DGD,Derrygorman deeper,128,128,0,DEAD
0843DO,Dooncarton,128,128,0,DEAD
0843DS,Drumsleed,128,128,0,DEAD
0843DSP,Drumsleed Peaty phase,128,128,0,DEAD
0843FC,Forth Commons,128,128,0,LIVE
0843GL,Glenary,128,128,0,LIVE
0843GM,Glanmore,128,128,0,DEAD
0843IC,Inch,128,128,0,DEAD
0843KA,Killinga,128,128,0,DEAD
0843KI,Knockanimpaha,128,128,0,DEAD
0843KL,Knockalisheen,128,128,0,DEAD
0843KS,Knockastanna,128,128,0,LIVE
0843KSP,Knockastanna peaty phase,128,128,0,DEAD
0843KT,Knockanattin,128,128,0,DEAD
0843KTB,Knockanattin bouldery phase,128,128,0,DEAD
0843KTP,Knockanattin peaty phase,128,128,0,DEAD
0843KYP,Knockeyon slightly peaty podzol variant,128,128,0,DEAD
0843LB,Letterbrock,128,128,0,DEAD
0843LBB,Letterbrock bouldery phase,128,128,0,DEAD
0843LO1,Lougher ,128,128,0,DEAD
0843LO2,Lougher ,128,128,0,DEAD
0843MV,Monavullagh,128,128,0,LIVE
0843RM,Rossmore,128,128,0,DEAD
0843SF,Seefin,128,128,0,DEAD
0843TH,Temple Hill variant,128,128,0,DEAD
0843UN66,UNnamed_66,128,128,0,DEAD
0860AD,Ardroe,128,128,0,DEAD
0860ARD,Ardrinane,128,128,0,LIVE
