National_Series_Id,National_Series,Modern_Definition,Texture,Substrate_Type,Substrate_1,Substrate_2,Subgroup_Name,GreatGroup_Name,Red_Value,Green_Value,Blue_Value,PhotoArray,Live,Modern_Correlative_Code,Modern_Correlative_Name,RepProfileCount,series_id
0760BB,Ballynabreen,Coarse loamy drift with igneous and metamorphic stones,Coarse loamy,drift with igenous and metamorphic stones,drift,igneous and metamorphic stones,Humic Surface-water Gleys,Surface Water Gley,141,180,226,"['RPC42BR01_P1030941.JPG', 'RPC42BR01_P1030944.JPG', 'RPH39BR01_P1100003.JPG', 'RPH39BR01_P1100010.JPG']",LIVE,0760BB,Ballynabreen,1,0760BB
0760BG,Ballygree,Fine silty drift with siliceous stones,Fine silty,drift with siliceous stones,drift,siliceous stones,Humic Surface-water Gleys,Surface Water Gley,141,180,226,"['RPQ90GJ01_DSCN0892.JPG', 'RPQ90GJ01_DSCN0902.JPG', 'RPQ90GJ01_DSCN0909.JPG', 'RPR41BR03_P1030265.JPG', 'RPR41BR03_P1030274.JPG']",LIVE,0760BG,Ballygree,1,0760BG
0760BL,Ballyhaise lithic phase,Fine loamy over sandstone and shale bedrock,Fine loamy,over sandstone and shale bedrock,bedrock,sandstone and shale,Humic Surface-water Gleys,Surface Water Gley,141,180,226,"['RPG92GJ01_DSCN0432.JPG', 'RPG92GJ01_DSCN0446.JPG']",LIVE,0760BL,Ballyhaise lithic phase,1,0760BL
0760BN,Ballinamore,Fine loamy drift with limestones,Fine loamy,drift with limestones,drift,limestones,Humic Surface-water Gleys,Surface Water Gley,141,180,226,[],LIVE,0760BN,Ballinamore,0,0760BN
0760CG,Cluggin,Clayey drift with siliceous stones,Clayey,drift with siliceous stones,drift,siliceous stones,Humic Surface-water Gleys,Surface Water Gley,141,180,226,[],LIVE,0760CG,Cluggin,1,0760CG
0760DY,Driminidy,Coarse loamy drift with siliceous stones,Coarse loamy,drift with siliceous stones,drift,siliceous stones,Humic Surface-water Gleys,Surface Water Gley,141,180,226,[],LIVE,0760DY,Driminidy,0,0760DY
0760GN,Gortaclareen,Fine loamy drift with siliceous stones,Fine loamy,drift with siliceous stones,drift,siliceous stones,Humic Surface-water Gleys,Surface Water Gley,141,180,226,"['RPQ80GJ02_DSCN0816.JPG', 'RPQ80GJ02_DSCN0831.JPG', 'RPQ90RC01_P1040214.JPG', 'RPQ90RC01_P1040218.JPG', 'RPQ90RC01_P1040233.JPG', 'RPS35RC19_P1020929.JPG', 'RPS35RC19_P1020933.JPG', 'RPS46RC16_P1020899.JPG', 'RPS46RC16_P1020908.JPG']",LIVE,0760GN,Gortaclareen,1,0760GN
0760HN,Howardstown,Clayey drift with limestones ,Clayey,drift with limestone ,drift,limestones,Humic Surface-water Gleys,Surface Water Gley,141,180,226,"['RPM99GJ02_DSCN0472.JPG', 'RPM99GJ02_DSCN0482.JPG']",LIVE,0760HN,Howardstown,1,0760HN
0760RH,Rahelty,Clayey over shale bedrock,Clayey,over shale bedrock,bedrock,sandstone and shale,Humic Surface-water Gleys,Surface Water Gley,141,180,226,"['RPS45RC15_P1020889.JPG', 'RPS45RC15_P1020894.JPG']",LIVE,0760RH,Rahelty,1,0760RH
0790KRA,Kilrush anthropic,Fine loamy drift with siliceous stones,Fine loamy,drift with siliceous stones,drift,siliceous stones,Anthric Surface-water Gleys,Surface Water Gley,141,180,226,[],LIVE,0790KRA,Kilrush anthropic,0,0790KRA
0800BN,Ballycondon,Loamy drift with siliceous stones,Loamy,drift with siliceous stones,drift,siliceous stones,Ferric Podzols,Podzol,128,128,0,[],LIVE,0800BN,Ballycondon,1,0800BN
0800BP,Brockagh,Sandy drift with igneous and metamorphic stones,Sandy,drift with igneous and metamorphic stones,drift,igneous and metamorphic stones,Ferric Podzols,Podzol,128,128,0,"['RPO10BR01_P1020784.JPG', 'RPO10BR01_P1020791.JPG']",LIVE,0800BP,Brockagh,1,0800BP
0800BR,Black Rock Mountain,Loamy over gneiss and schist bedrock,Loamy,over gneiss and schist bedrock,bedrock,gneiss and schist,Ferric Podzols,Podzol,128,128,0,[],LIVE,0800BR,Black Rock Mountain,0,0800BR
